Product,Category,Total_Sales,Total_Quantity,Average_Unit_Price,Average_Rating
Cheese,Dairy,27906.3,126,221.70884615384617,3.976923076923077
Coffee,Beverages,27694.87,153,181.01083333333335,3.858333333333333
Shampoo,Personal Care,27497.48,152,179.29,3.9185185185185185
Cooking Oil,Grocery,21525.06,142,150.55384615384617,3.965384615384615
Tea,Beverages,17681.59,146,119.86896551724138,4.020689655172413
Apples,Fruits,17057.41,119,141.85250000000002,3.8600000000000003
Face Wash,Personal Care,11946.85,100,119.30105263157895,3.9
Rice,Grocery,11754.17,167,70.48,3.8448275862068964
Cold Drink,Beverages,10731.78,166,65.06103448275861,3.9793103448275864
Eggs,Dairy,10429.77,117,89.1605,4.029999999999999
Chocolate,Snacks,7250.65,145,49.69826086956522,4.230434782608696
Noodles,Grocery,7191.24,130,54.89740740740741,4.022222222222222
Potato,Vegetables,6799.38,194,34.99,3.9814814814814814
Bread,Bakery,6516.1,164,39.903214285714284,4.242857142857143
Soap,Personal Care,6499.63,147,44.598518518518524,4.025925925925926
Bananas,Fruits,6205.76,104,59.83541666666667,3.8041666666666667
Chips,Snacks,5833.45,168,34.705769230769235,4.0807692307692305
Milk,Dairy,5655.93,102,55.189090909090915,4.095454545454545
Tomato,Vegetables,4324.79,96,45.19428571428572,3.9904761904761905
Biscuits,Snacks,3908.87,130,29.978846153846156,4.026923076923077
